;obj_regio3;long;obj_street;obj_baseRent;geo_plz;obj_livingSpace;lat;rel_baseRent;culture;s-stations;university;food;nightlife;spareTime;transportations
341;Grünau-Nord;12.263639342155805;Am kleinen Feld;205,44;4205,0;32,61;51.31969863262629;6,299908003679852;1;0;2;2;3;0;3
342;Grünau-Nord;12.26405902616948;Am kleinen Feld;211,97;4205,0;32,61;51.31843977475779;6,500153327200246;1;0;2;1;1;0;3
343;Grünau-Nord;12.264248198975347;Am kleinen Feld;245,0;4205,0;32,61;51.31813486563;7,513032812020852;1;0;2;1;1;0;3
344;Grünau-Nord;12.263639342155805;Am kleinen Feld;400,0;4205,0;70,42;51.31969863262629;5,680204487361545;1;0;2;2;3;0;3
345;Plagwitz;12.327897297567489;"Siemensstra&szlig;e";663,0;4229,0;78,0;51.3217428084686;8,5;8;0;4;4;4;3;4
346;Altlindenau;12.329558453676205;Friesenstr.;380,0;4177,0;56,75;51.340108211229705;6,6960352422907485;13;0;2;8;9;3;8
347;Altlindenau;12.322489325008116;Wielandstr.;389,0;4177,0;55,54;51.3407123283455;7,003961109110551;1;0;1;4;4;6;8
348;Schönefeld-Abtnaundorf;12.407795521113396;"Paul-Heyse-Stra&szlig;e";449,7;4347,0;65,65;51.35558560399279;6,849961919268849;0;0;0;5;0;4;5
349;Grünau-Nord;12.268245367445404;"Plovdiver Stra&szlig;e";338,0;4205,0;56,4;51.3188346274921;5,992907801418441;1;0;1;1;2;1;4
350;Grünau-Mitte;12.29946717261347;"Ringstra&szlig;e";352,0;4209,0;70,24;51.31522996704129;5,0113895216400905;0;0;1;3;0;2;4
351;Dölitz-Dösen;12.395617638735173;"Newtonstra&szlig;e";360,0;4279,0;64,1;51.2872411438455;5,616224648985961;0;0;0;1;2;4;5
352;Zentrum-Südost;12.38227595039978;"Auguste-Schmidt-Stra&szlig;e";1215,0;4103,0;96,9;51.335921373072644;12,538699690402474;11;1;13;21;8;8;14
353;Grünau-Nord;12.272748921423569;Andromedaweg;327,0;4205,0;56,4;51.3191593481831;5,797872340425532;0;0;1;2;2;1;3
354;Grünau-Nord;12.264167439061511;Am kleinen Feld;680,0;4205,0;109,19;51.3179720603429;6,2276765271545;1;0;2;1;1;0;3
355;Plagwitz;12.327897297567489;"Siemensstra&szlig;e";841,0;4229,0;99,0;51.3217428084686;8,494949494949495;8;0;4;4;4;3;4
356;Grünau-Mitte;12.294879173381474;"Ringstra&szlig;e";541,26;4209,0;90,21;51.314962678461114;6,0;0;0;4;1;1;8;1
357;Grünau-Nord;12.273305078285672;"Wegastra&szlig;e";228,0;4205,0;32,65;51.318911308892204;6,983154670750383;0;0;2;2;2;1;2
358;Lausen-Grünau;12.269437169914069;An der Kotsche;268,0;4207,0;35,76;51.309197577180605;7,494407158836689;0;0;0;0;0;2;2
359;Altlindenau;12.322489325008116;Wielandstr.;501,0;4177,0;71,22;51.3407123283455;7,034540859309182;1;0;1;4;4;6;8
360;Schönefeld-Abtnaundorf;12.410507723804676;"Taubestra&szlig;e";400,0;4347,0;73,12;51.356708461729404;5,4704595185995615;0;0;0;5;2;5;4
361;Schönefeld-Abtnaundorf;12.41147572618493;"Plo&szlig;stra&szlig;e";410,0;4347,0;63,08;51.352872168550604;6,499682942295498;0;0;0;4;0;4;7
362;Lausen-Grünau;12.269355618756444;An der Kotsche;301,0;4207,0;51,96;51.30931783163051;5,792917628945342;0;0;0;0;0;2;2
363;Lausen-Grünau;12.269355618756444;An der Kotsche;379,0;4207,0;68,98;51.30931783163051;5,494346187300667;0;0;0;0;0;2;2
364;Lausen-Grünau;12.269327743592891;An der Kotsche;380,0;4207,0;69,0;51.3090444532501;5,507246376811594;0;0;0;0;0;2;2
